Date,Game,Earnings,Players,Tournaments,ReleaseDate,Genre,TotalEarnings,TotalPlayers,TotalTournaments,Earnings_YoY_Growth,Players_YoY_Growth,Tournaments_YoY_Growth,Release_Decade
2003-01-01,Counter-Strike,1280.0,30,2,2000-01-01,First-Person Shooter,13596060.66,4264,1023,-99.09732303388317,-79.3103448275862,-50.0,2000
2003-02-01,StarCraft: Brood War,29137.55,16,1,1998-01-01,Strategy,7548789.3,658,536,381.5168892120571,166.66666666666666,0.0,2000
2003-02-01,Counter-Strike,2666.67,32,3,2000-01-01,First-Person Shooter,13596060.66,4264,1023,108.33359375000002,6.666666666666665,50.0,2000
2003-02-01,Age of Empires II,380.0,4,2,1999-01-01,Strategy,3253232.59,1994,1613,-96.38095238095238,-75.0,-33.333333333333336,2000
2003-03-01,Counter-Strike,22817.54,65,4,2000-01-01,First-Person Shooter,13596060.66,4264,1023,755.6566804291494,103.125,33.33333333333333,2000
2003-03-01,Halo: Combat Evolved,12500.0,0,1,2001-01-01,First-Person Shooter,299281.0,118,39,150.0,-100.0,-50.0,2000
2003-03-01,Super Smash Bros. Melee,12500.0,3,1,2001-01-01,Fighting Game,4061572.65,1963,2695,509.7560975609756,-57.14285714285714,-50.0,2000
2003-03-01,Tekken 4,12500.0,0,1,2001-01-01,Fighting Game,12500.0,4,4,,,,2000
2003-03-01,Unreal Tournament 2003,12500.0,0,1,2002-01-01,First-Person Shooter,147473.91,33,14,-58.33333333333333,-100.0,0.0,2000
2003-03-01,WarCraft III,8081.27,6,1,2002-01-01,Strategy,6273482.33,752,1533,-12.016657593903101,-62.5,0.0,2000
2003-04-01,Counter-Strike,51906.6,40,3,2000-01-01,First-Person Shooter,13596060.66,4264,1023,127.48552210273326,-38.46153846153846,-25.0,2000
2003-04-01,WarCraft III,16000.63,5,2,2002-01-01,Strategy,6273482.33,752,1533,97.99647827631051,-16.666666666666664,100.0,2000
2003-04-01,Unreal Tournament 2003,15199.05,0,1,2002-01-01,First-Person Shooter,147473.91,33,14,21.5924,,0.0,2000
2003-04-01,Halo: Combat Evolved,14950.0,32,5,2001-01-01,First-Person Shooter,299281.0,118,39,19.599999999999994,inf,400.0,2000
2003-04-01,Quake III Arena,8663.46,3,2,1999-01-01,First-Person Shooter,1197552.96,308,114,-79.85241860465116,-62.5,100.0,2000
2003-04-01,StarCraft: Brood War,7265.55,2,2,1998-01-01,Strategy,7548789.3,658,536,-75.06465025371043,-87.5,100.0,2000
2003-04-01,Age of Mythology,2434.22,6,2,2002-01-01,Strategy,155403.52,217,257,,,,2000
2003-04-01,Age of Empires II,1980.0,5,3,1999-01-01,Strategy,3253232.59,1994,1613,421.05263157894734,25.0,50.0,2000
2003-05-01,Counter-Strike,20355.3,52,6,2000-01-01,First-Person Shooter,13596060.66,4264,1023,-60.78475569580747,30.000000000000004,100.0,2000
2003-05-01,Age of Empires II,760.0,6,4,1999-01-01,Strategy,3253232.59,1994,1613,-61.61616161616161,19.999999999999996,33.33333333333333,2000
2003-05-01,Age of Empires,625.0,4,1,1997-01-01,Strategy,510716.46,473,265,525.0,33.33333333333333,0.0,2000
2003-06-01,Counter-Strike,60804.35,63,5,2000-01-01,First-Person Shooter,13596060.66,4264,1023,198.7150766630804,21.153846153846146,-16.666666666666664,2000
2003-06-01,StarCraft: Brood War,44018.0,40,2,1998-01-01,Strategy,7548789.3,658,536,505.8453936728809,1900.0,0.0,2000
2003-06-01,WarCraft III,27887.45,4,1,2002-01-01,Strategy,6273482.33,752,1533,74.2896998430687,-19.999999999999996,-50.0,2000
2003-06-01,Age of Mythology,18445.97,3,2,2002-01-01,Strategy,155403.52,217,257,657.7774400013146,-50.0,0.0,2000
2003-06-01,NASCAR Thunder 2003,5933.5,0,1,2002-01-01,Racing,5933.5,0,1,,,,2000
2003-06-01,Age of Empires II,380.0,4,2,1999-01-01,Strategy,3253232.59,1994,1613,-50.0,-33.333333333333336,-50.0,2000
2003-07-01,Counter-Strike,135189.2,127,6,2000-01-01,First-Person Shooter,13596060.66,4264,1023,122.33475072095996,101.58730158730158,19.999999999999996,2000
2003-07-01,StarCraft: Brood War,46020.6,28,3,1998-01-01,Strategy,7548789.3,658,536,4.549502476259715,-30.000000000000004,50.0,2000
2003-07-01,Unreal Tournament 2003,25617.5,9,3,2002-01-01,First-Person Shooter,147473.91,33,14,68.54671838042509,inf,200.0,2000
2003-07-01,WarCraft III,24062.0,21,6,2002-01-01,Strategy,6273482.33,752,1533,-13.717460721579066,425.0,500.0,2000
2003-07-01,Quake III Arena,10000.0,4,1,1999-01-01,First-Person Shooter,1197552.96,308,114,15.427323494308286,33.33333333333333,-50.0,2000
2003-07-01,Age of Mythology,2278.94,9,3,2002-01-01,Strategy,155403.52,217,257,-87.64532307056771,200.0,50.0,2000
2003-07-01,Age of Empires II,200.0,1,1,1999-01-01,Strategy,3253232.59,1994,1613,-47.36842105263158,-75.0,-50.0,2000
2003-08-01,Counter-Strike,218835.22,126,5,2000-01-01,First-Person Shooter,13596060.66,4264,1023,61.87330052992397,-0.7874015748031482,-16.666666666666664,2000
2003-08-01,Quake III Arena,70800.0,23,3,1999-01-01,First-Person Shooter,1197552.96,308,114,608.0,475.0,200.0,2000
2003-08-01,Return to Castle Wolfenstein,46000.0,24,1,2001-01-01,First-Person Shooter,113424.3,50,3,218.90629007993456,inf,0.0,2000
2003-08-01,Age of Mythology,12951.0,14,3,2002-01-01,Strategy,155403.52,217,257,468.2905210317077,55.55555555555556,0.0,2000
2003-08-01,WarCraft III,12832.68,9,4,2002-01-01,Strategy,6273482.33,752,1533,-46.66827362646496,-57.14285714285714,-33.333333333333336,2000
2003-08-01,Unreal Tournament 2003,9457.36,3,1,2002-01-01,First-Person Shooter,147473.91,33,14,-63.082424124133894,-66.66666666666667,-66.66666666666667,2000
2003-08-01,Age of Empires II,7000.0,8,1,1999-01-01,Strategy,3253232.59,1994,1613,3400.0,700.0,0.0,2000
2003-08-01,FIFA 03,5066.44,3,1,2002-01-01,Sports,54066.44,10,3,,,,2000
2003-08-01,Super Smash Bros. Melee,1000.0,1,1,2001-01-01,Fighting Game,4061572.65,1963,2695,-92.0,-66.66666666666667,0.0,2000
2003-08-01,Capcom vs. SNK 2,0.0,3,1,2001-01-01,Fighting Game,24976.79,38,22,,0.0,0.0,2000
2003-08-01,Guilty Gear XX,0.0,3,1,2002-01-01,Fighting Game,0.0,5,2,,,,2000
2003-08-01,Marvel vs. Capcom 2,0.0,3,1,2000-01-01,Fighting Game,39279.73,68,29,,0.0,0.0,2000
2003-08-01,Soul Calibur II,0.0,3,1,2003-01-01,Fighting Game,4980.0,17,8,,,,2000
2003-08-01,Street Fighter III: 3rd Strike,0.0,3,1,1999-01-01,Fighting Game,54341.18,108,45,,0.0,0.0,2000
2003-08-01,Super Street Fighter II Turbo,0.0,3,1,1994-01-01,Fighting Game,25646.29,114,51,,0.0,0.0,2000
2003-08-01,Tekken 4,0.0,3,1,2001-01-01,Fighting Game,12500.0,4,4,-100.0,inf,0.0,2000
2003-08-01,Tekken Tag Tournament,0.0,3,1,1999-01-01,Fighting Game,0.0,7,4,,,,2000
